Name,Brand,Gender,Price,Main Accords,Description
Chanel No. 5,Chanel,women,150.00,"floral,aldehyde,powdery","An iconic floral aldehyde fragrance, timeless and elegant."
Dior Sauvage,Christian Dior,men,120.00,"fresh,spicy,woody","A fresh and spicy woody fragrance for the modern man."
Bleu de Chanel,Chanel,men,140.00,"woody,aromatic,fresh","A sophisticated woody aromatic scent with fresh citrus notes."
Miss Dior Blooming Bouquet,Christian Dior,women,130.00,"floral,fresh,green","A fresh floral bouquet with delicate peony and rose."
Tom Ford Black Orchid,Tom Ford,unisex,180.00,"oriental,spicy,floral","A luxurious and mysterious oriental fragrance with dark floral notes."
Acqua di Gio,Giorgio Armani,men,110.00,"aquatic,fresh,citrus","A fresh aquatic fragrance inspired by the Mediterranean."
Flowerbomb,Viktor & Rolf,women,160.00,"floral,sweet,powdery","An explosion of flowers with sweet and powdery notes."
Le Male,Jean Paul Gaultier,men,100.00,"oriental,vanilla,spicy","A sweet oriental fragrance with lavender and vanilla."
Coco Mademoiselle,Chanel,women,145.00,"oriental,fresh,floral","A fresh oriental fragrance with citrus and floral notes."
Versace Eros,Versace,men,95.00,"fresh,woody,oriental","A fresh woody oriental fragrance with mint and apple."

