name,brand,gender,price,main_accords,top_notes,middle_notes,base_notes,description,seasons,occasions
Chanel No. 5,Chanel,Female,150,"Floral, Aldehyde, Powdery","Aldehydes, Ylang-Ylang, Neroli","Jasmine, Rose, Lily of the Valley","Vetiver, Sandalwood, Vanilla","An iconic floral aldehyde fragrance, timeless and elegant.","Spring, Fall","Evening, Special Events"
Dior Sauvage,Dior,Male,120,"Fresh, Spicy, Woody","Calabrian Bergamot, Pepper","Sichuan Pepper, Lavender, Pink Pepper","Ambroxan, Cedar, Labdanum","A fresh and spicy woody fragrance for the modern man.","Spring, Summer, Fall","Daily, Office, Casual"
Bleu de Chanel,Chanel,Male,140,"Woody, Aromatic, Fresh","Grapefruit, Lemon, Mint","Ginger, Nutmeg, Jasmine","Incense, Cedar, Sandalwood","A sophisticated woody aromatic scent with fresh citrus notes.","All Seasons","Daily, Office, Evening"
Miss Dior Blooming Bouquet,Dior,Female,130,"Floral, Fresh, Green","Sicilian Mandarin, Bergamot","Peony, Rose, Apricot","White Musk","A fresh floral bouquet with delicate peony and rose.","Spring, Summer","Daily, Casual, Date"
Tom Ford Black Orchid,Tom Ford,Unisex,180,"Oriental, Spicy, Floral","Truffle, Gardenia, Black Currant","Orchid, Spices, Lotus Wood","Patchouli, Vanilla, Incense","A luxurious and mysterious oriental fragrance with dark floral notes.","Fall, Winter","Evening, Special Events, Date"
Acqua di Gio,Giorgio Armani,Male,110,"Aquatic, Fresh, Citrus","Lime, Lemon, Bergamot","Jasmine, Calone, Peach","Cedar, Musk, Patchouli","A fresh aquatic fragrance inspired by the Mediterranean.","Spring, Summer","Daily, Casual, Office"
Flowerbomb,Viktor & Rolf,Female,160,"Floral, Sweet, Powdery","Bergamot, Green Tea","Sambac Jasmine, Orchid, Freesia, Rose","Patchouli, Musk","An explosion of flowers with sweet and powdery notes.","Fall, Winter","Evening, Special Events"
Le Male,Jean Paul Gaultier,Male,100,"Oriental, Vanilla, Spicy","Lavender, Mint, Cardamom","Cinnamon, Orange Blossom, Cumin","Vanilla, Tonka Bean, Cedar","A sweet oriental fragrance with lavender and vanilla.","Fall, Winter","Evening, Date, Special Events"
Coco Mademoiselle,Chanel,Female,145,"Oriental, Fresh, Floral","Orange, Bergamot, Grapefruit","Jasmine, Rose, Lychee","Patchouli, Vanilla, Vetiver, White Musk","A fresh oriental fragrance with citrus and floral notes.","All Seasons","Daily, Office, Evening"
Versace Eros,Versace,Male,95,"Fresh, Woody, Oriental","Mint, Green Apple, Lemon","Tonka Bean, Geranium, Ambroxan","Vanilla, Vetiver, Oakmoss, Cedar","A fresh woody oriental fragrance with mint and apple.","Spring, Summer, Fall","Evening, Date, Casual"

